,BondYield,price,ret,cum_ret
2017-01-16,3.2249,96.87585069106389,-9.687585069095839e-05,1.0040382771250866
2017-01-17,3.2636,96.83954462172537,-0.0003747690376861845,1.0036635080874006
2017-01-18,3.2738,96.8299801111221,-9.876657971319425e-05,1.0035647415076874
2017-01-19,3.2849,96.81957381959997,-0.00010746972693986834,1.0034572717807475
2017-01-20,3.2451,96.85689684062488,0.0003854904494255962,1.003842762230173
2017-01-22,3.2351,96.86627900781808,9.686627900773459e-05,1.0039396285091808
2017-01-23,3.2602,96.84273321182798,-0.0002430752603618247,1.003696553248819
2017-01-24,3.2749,96.82894875715203,-0.0001423385546728273,1.003554214694146
2017-01-25,3.3097,96.79633180620988,-0.00033685123468563116,1.0032173634594606
2017-01-26,3.3292,96.77806467097393,-0.0001887172261084702,1.0030286462333522
2017-02-03,3.3299,96.77740905584928,-6.774418633836987e-06,1.0030218718147184
2017-02-04,3.4146,96.69814513618,-0.0008190332893034391,1.002202838525415
2017-02-06,3.4292,96.6844952875977,-0.00014115936311998034,1.002061679162295
2017-02-07,3.4599,96.65580577595763,-0.0002967333237322567,1.0017649458385627
2017-02-08,3.4512,96.66393429945713,8.409762284045108e-05,1.0018490434614031
2017-02-09,3.4313,96.6825322702122,0.00019239823921779475,1.002041441700621
2017-02-10,3.3968,96.71479194713956,0.00033366603221751667,1.0023751077328384
2017-02-13,3.4265,96.687019284226,-0.00028716044727405965,1.0020879472855644
2017-02-14,3.402,96.70992824123326,0.000236939324191221,1.0023248866097556
2017-02-15,3.4414,96.67309220486189,-0.00038089198328727925,1.0019439946264683
2017-02-16,3.3924,96.7189077727183,0.0004739226480861003,1.0024179172745544
2017-02-17,3.3825,96.72816966120959,9.576088796481308e-05,1.0025136781625192
2017-02-20,3.3107,96.79539486229403,0.0006949909351112726,1.0032086690976305
2017-02-21,3.3373,96.7704788106521,-0.0002574094736365051,1.002951259623994
2017-02-22,3.3457,96.76261324854347,-8.128059512868546e-05,1.0028699790288653
2017-02-23,3.3169,96.78958621483997,0.00027875400829868724,1.003148733037164
2017-02-24,3.3324,96.7750676457723,-0.0001500013548507706,1.0029987316823132
2017-02-27,3.3228,96.78405927830062,9.291269690692161e-05,1.0030916443792202
2017-02-28,3.3179,96.78864940150739,4.742643820687675e-05,1.003139070817427
2017-03-01,3.3115,96.79464532022088,6.194857300489964e-05,1.003201019390432
2017-03-02,3.3315,96.77591054034829,-0.00019355182108071745,1.0030074675693512
2017-03-03,3.3465,96.76186421407594,-0.00014514279632116267,1.0028623247730302
2017-03-06,3.3593,96.74988123952078,-0.00012383984798658432,1.0027384849250436
2017-03-07,3.3694,96.74042801834972,-9.770783229856583e-05,1.002640777092745
2017-03-08,3.3757,96.73453239010715,-6.094275540580174e-05,1.002579834337339
2017-03-09,3.407,96.7052520622395,-0.0003026874389547851,1.0022771468983844
2017-03-10,3.412,96.70057633543496,-4.8350288167631206e-05,1.0022287966102168
2017-03-13,3.4165,96.69636856787844,-4.351336585550758e-05,1.0021852832443612
2017-03-14,3.3724,96.7376204867063,0.00042661290634615767,1.0026118961507073
2017-03-15,3.3636,96.74585637497147,8.513635361007132e-05,1.0026970325043174
2017-03-16,3.2728,96.83091772470581,0.0008792247329401093,1.0035762572372575
2017-03-17,3.3127,96.79352102887643,-0.000386206148904944,1.0031900510883527
2017-03-20,3.313,96.79323996012117,-2.9037971991385803e-06,1.0031871472911535
2017-03-21,3.3431,96.76504769065376,-0.00029126279354863005,1.002895884497605
2017-03-22,3.2984,96.80692053313508,0.0004327269347832452,1.0033286114323883
2017-03-23,3.3157,96.79071041477722,-0.00016744792901779437,1.0031611635033704
2017-03-24,3.2738,96.8299801111221,0.00040571761666585715,1.0035668811200362
2017-03-27,3.2264,96.8744429719529,0.0004591848596868786,1.004026065979723
2017-03-28,3.2388,96.86280739411926,-0.00012010988116872845,1.0039059560985544
2017-03-29,3.2808,96.82341732442042,-0.00040665835276243456,1.003499297745792
2017-03-30,3.2936,96.81141910050573,-0.00012391861644878155,1.0033753791293432
2017-03-31,3.2838,96.82060497386813,9.488419287451144e-05,1.0034702633222177
2017-04-01,3.2613,96.84170158617023,0.0002178938285688492,1.0036881571507865
2017-04-05,3.2843,96.82013626465978,-0.00022268631340871536,1.0034654708373778
2017-04-06,3.3265,96.78059355538026,-0.00040841410480385587,1.0030570567325738
2017-04-07,3.3018,96.80373430085439,0.00023910522372316834,1.003296161956297
2017-04-10,3.3143,96.7920220143775,-0.00012099002751786436,1.0031751719287791
2017-04-11,3.337,96.77075974723479,-0.00021966962462616202,1.002955502304153
2017-04-12,3.3105,96.79558224962614,0.00025650829296153255,1.0032120105971145
2017-04-13,3.3156,96.79080409928414,-4.936331009064432e-05,1.0031626472870239
2017-04-14,3.3379,96.76991694238028,-0.00021579691478168517,1.002946850372242
2017-04-17,3.3989,96.71282769932755,-0.0005899482489658547,1.0023569021232763
2017-04-18,3.4252,96.6882345888623,-0.00025429005696853135,1.0021026120663077
2017-04-19,3.4142,96.69851915887762,0.00010636837107469432,1.0022089804373824
2017-04-20,3.433,96.68094321928206,-0.00018176017325233218,1.00202722026413
2017-04-21,3.4322,96.6816910014483,7.73453528002399e-06,1.00203495479941
2017-04-24,3.4819,96.63525698697067,-0.00048027722722532307,1.0015546775721846
2017-04-25,3.4823,96.6348834534988,-3.8653953382539186e-06,1.0015508121768464
2017-04-26,3.4549,96.66047717411162,0.00026484970745710434,1.0018156618843035
2017-04-27,3.4513,96.66384086038552,3.479898270986048e-05,1.0018504608670133
2017-04-28,3.4634,96.65253606589383,-0.00011694956863983474,1.0017335112983736
2017-05-02,3.4601,96.65561892942303,3.189635424671877e-05,1.0017654076526203
2017-05-03,3.5145,96.6048234788363,-0.0005255302397249029,1.0012398774128954
2017-05-04,3.5298,96.5905468763583,-0.00014778353672084688,1.0010920938761747
2017-05-05,3.5497,96.5719842742181,-0.00019217824870554345,1.0008999156274692
2017-05-08,3.5901,96.53432132993404,-0.0003899986581730186,1.0005099169692961
2017-05-09,3.6092,96.51652555950629,-0.00018434656381882686,1.0003255704054772
2017-05-10,3.6492,96.47927818063236,-0.0003859171127225114,0.9999396532927547
2017-05-11,3.7012,96.43089954600332,-0.0005014406776392422,0.9994382126151155
2017-05-12,3.6443,96.48383943931312,0.0005489930464097625,0.9999872056615252
2017-05-15,3.6247,96.50208878771181,0.0001891440940238187,1.0001763497555491
2017-05-16,3.6346,96.49287014182522,-9.552794144040977e-05,1.0000808218141088
2017-05-17,3.625,96.50180940892643,9.264173703282808e-05,1.0001734635511417
2017-05-18,3.615,96.51112290691503,9.651112290676167e-05,1.0002699746740484
2017-05-19,3.6302,96.49696710032403,-0.0001466753899926898,1.0001232992840556
2017-05-22,3.6353,96.49221838504833,-4.921103137633942e-05,1.0000740882526793
2017-05-23,3.6551,96.47378662506716,-0.00019101809751764787,0.9998830701551616
2017-05-24,3.6849,96.44605916579947,-0.00028740925631387526,0.9995956608988478
2017-05-25,3.6455,96.48272235649402,0.0003801419260844874,0.9999758028249323
2017-05-26,3.6559,96.47304205549322,-0.00010033196373782083,0.9998754708611944
2017-05-27,3.6559,96.47304205549322,0.0,0.9998754708611944
2017-05-31,3.6562,96.47276284486601,-2.8941828853490392e-06,0.9998725766783091
2017-06-01,3.6168,96.50944634460821,0.0003802472185976402,1.0002528238969068
2017-06-02,3.6169,96.50935320396577,-9.650935318683551e-07,1.000251858803375
2017-06-05,3.6018,96.52341947726777,0.00014575036341057945,1.0003976091667857
2017-06-06,3.6168,96.50944634460821,-0.00014476416951691995,1.0002528449972687
2017-06-07,3.684,96.44689633887582,-0.000648123143397239,0.9996047218538715
2017-06-08,3.6418,96.486166778269,0.0004071716238043255,1.0000118934776758
2017-06-09,3.6394,96.48840112930024,2.3157216270996983e-05,1.0000350506939468
2017-06-12,3.6072,96.51838868341196,0.00031078921156058037,1.0003458399055074
2017-06-13,3.5626,96.55995504168494,0.0004306573994861118,1.0007764973049935
2017-06-14,3.5688,96.55417461629372,-5.9863588262154543e-05,1.0007166337167313
2017-06-15,3.5325,96.58802791394007,0.0003506145413274542,1.0010672482580587
2017-06-16,3.5675,96.55538658362904,-0.00033794385304264374,1.000729304405016
2017-06-19,3.5205,96.59922430822881,0.00045401635424857645,1.0011833207592646
2017-06-20,3.4881,96.629467542645,0.00031307947483805165,1.0014964002341027
2017-06-21,3.5105,96.60855661985983,-0.0002164031668284716,1.0012799970672743
2017-06-22,3.5429,96.57832647144325,-0.0003129137777674318,1.000967083289507
2017-06-23,3.5479,96.57366301006587,-4.828683150515101e-05,1.0009187964580017
2017-06-26,3.5381,96.58280381811139,9.465114774154237e-05,1.0010134476057433
2017-06-27,3.5134,96.60585006385647,0.00023861644965794682,1.0012520640554012
2017-06-28,3.5209,96.59885105326556,-7.244913829007604e-05,1.001179614917111
2017-06-29,3.5482,96.57338321670488,-0.0002636453361813951,1.0009159695809298
2017-06-30,3.5656,96.55715797523503,-0.0001680094548768274,1.000747960126053
2017-07-03,3.5732,96.55007279875488,-7.337805532725561e-05,1.0006745820707257
2017-07-04,3.608,96.51764342521813,-0.0003358813991197751,1.0003387006716058
2017-07-05,3.6056,96.51987923432709,2.316477101627079e-05,1.000361865442622
2017-07-06,3.5684,96.55454752607938,0.0003591829167970406,1.000721048359419
2017-07-07,3.5735,96.54979314206818,-4.924039450249218e-05,1.0006718079649166
2017-07-10,3.5835,96.54047217944942,-9.65404721794405e-05,1.0005752674927373
2017-07-11,3.5824,96.54149739724123,1.061956471382075e-05,1.000585887057451
2017-07-12,3.5737,96.5496067051771,8.399815783355358e-05,1.0006698852152847
2017-07-13,3.5602,96.56219281152413,0.00013035896029545135,1.0008002441755801
2017-07-14,3.5702,96.55286945472733,-9.655286945475794e-05,1.0007036913061254
2017-07-17,3.5542,96.5677876899247,0.00015450846030384824,1.0008581997664292
2017-07-18,3.5864,96.5377694369145,-0.0003108516175868159,1.0005473481488423
2017-07-19,3.5902,96.53422814127204,-3.668300669390501e-05,1.0005106651421483
2017-07-20,3.5742,96.54914061609938,0.0001544786249858543,1.0006651437671341
2017-07-21,3.5755,96.5479288055573,-1.2551230744728414e-05,1.0006525925363894
2017-07-24,3.5796,96.54410714078834,-3.958308392781884e-05,1.0006130094524615
2017-07-25,3.587,96.53721026769767,-7.143753559823995e-05,1.0005415719168633
2017-07-26,3.6036,96.52174248771279,-0.0001602260925294141,1.000381345824334
2017-07-27,3.6161,96.5100983341392,-0.0001206376229175854,1.0002607082014165
2017-07-28,3.6025,96.52276730773872,0.0001312709635385989,1.0003919791649551
2017-07-31,3.6203,96.50618652908744,-0.00017178101202186546,1.0002201981529333
2017-08-01,3.6315,96.49575659910354,-0.00010807524739109287,1.0001121229055423
2017-08-02,3.6303,96.4968739837673,1.1579624878299555e-05,1.0001237025304206
2017-08-03,3.6328,96.49454612825284,-2.4123636532036308e-05,1.0000995788938885
2017-08-04,3.6218,96.5047895327045,0.00010615526848600787,1.0002057341623745
2017-08-07,3.6482,96.48020901472482,-0.00025470775179869953,0.9999510264105758
2017-08-08,3.6695,96.46038613092568,-0.0002054606224589639,0.9997455657881168
2017-08-09,3.6707,96.4592695911188,-1.1575112351058792e-05,0.9997339906757657
2017-08-10,3.661,96.46829569461995,9.35742468237688e-05,0.9998275649225895
2017-08-11,3.636,96.49156663707592,0.00024122891659272838,1.0000687938391821
2017-08-14,3.6192,96.50721101880733,0.0001621321145115484,1.0002309259536937
2017-08-15,3.6043,96.52109034084492,0.00014381642460770117,1.0003747423783014
2017-08-16,3.6187,96.50767670314336,-0.0001389710544523748,1.000235771323849
2017-08-17,3.6319,96.4953841432995,-0.00012737390706929475,1.0001083974167797
2017-08-18,3.6221,96.5045101382813,9.45744199354337e-05,1.0002029718367151
2017-08-21,3.6498,96.47871968879825,-0.0002672460535377841,0.9999357257831774
2017-08-22,3.6638,96.46569004802062,-0.00013505196606733438,0.99980067381711
2017-08-23,3.6577,96.47136681597217,5.884753375773322e-05,0.9998595213508678
2017-08-24,3.6748,96.45545494179878,-0.0001649388279504338,0.9996945825229173
2017-08-25,3.6747,96.45554797843639,9.64555479709972e-07,0.999695547078397
2017-08-28,3.6863,96.44475692545687,-0.00011187591803352159,0.9995836711603635
2017-08-29,3.6946,96.43703722276763,-8.004274089479235e-05,0.9995036284194687
2017-08-30,3.6848,96.44615218431245,9.451722914066707e-05,0.9995981456486094
2017-08-31,3.6701,96.4598278577912,0.0001417959469509622,0.9997399415955603
2017-09-01,3.6339,96.49352190740676,0.00034930654930498406,1.0000892481448653
2017-09-04,3.6478,96.480581353391,-0.00013410800808133505,0.999955140136784
2017-09-05,3.6604,96.46885406577631,-0.00012155075612296784,0.999833589380661
2017-09-06,3.6642,96.46531782428264,-3.665682077313992e-05,0.9997969325598879
2017-09-07,3.6431,96.48495654799981,0.00020358325831626445,1.0000005158182041
2017-09-08,3.6038,96.52155615913702,0.0003793297157055342,1.0003798455339097
2017-09-11,3.6098,96.51596663636066,-5.7909579981751946e-05,1.000321935953928
2017-09-12,3.6311,96.49612905778285,-0.00020553675489309864,1.000116399199035
2017-09-13,3.6262,96.50069190996099,4.728533903586296e-05,1.0001636845380708
2017-09-14,3.6104,96.51540771968838,0.0001524943441972848,1.000316178882268
2017-09-15,3.5991,96.5259350708645,0.00010907430662987494,1.000425253188898
2017-09-18,3.6143,96.511774919099,-0.00014669789787702392,1.000278555291021
2017-09-19,3.6193,96.50711788247943,-4.8253558941002694e-05,1.00023030173208
2017-09-20,3.6232,96.5034857059037,-3.763635942544141e-05,1.0001926653726545
2017-09-21,3.6295,96.49761892125312,-6.0793499920386296e-05,1.0001318718727341
2017-09-22,3.6347,96.49277703317519,-5.0176244057231756e-05,1.0000816956286769
2017-09-25,3.6038,96.52155615913702,0.00029825160853169663,1.0003799472372086
2017-09-26,3.6152,96.51093661933771,-0.00011002246774594049,1.0002699247694626
2017-09-27,3.63,96.49715333397664,-0.00014281578693442487,1.0001271089825283
2017-09-28,3.6179,96.50842180742903,0.0001167751903872194,1.0002438841729155
2017-09-29,3.6178,96.5085149462737,9.650851493514523e-07,1.000244849258065
2017-09-30,3.6179,96.50842180742903,-9.65084217985357e-07,1.0002438841738468
2017-10-09,3.6398,96.48802873027545,-0.00021130878291919508,1.0000325753909276
2017-10-10,3.656,96.47294898510458,-0.00015628617735596873,0.9998762892135716
2017-10-11,3.661,96.46829569461995,-4.823414784749236e-05,0.9998280550657241
2017-10-12,3.671,96.45899046020584,-9.64589904601798e-05,0.999731596075264
2017-10-13,3.6686,96.46122355274403,2.315069365277367e-05,0.9997547467689167
2017-10-16,3.6985,96.43341031933923,-0.00028833589685484107,0.9994664108720619
2017-10-17,3.7308,96.40338260188875,-0.0003113829258039047,0.999155027946258
2017-10-18,3.7364,96.39817846001982,-5.398297993775003e-05,0.9991010449663202
2017-10-19,3.7255,96.40830846802378,0.00010508505623008091,0.9992061300225503
2017-10-20,3.7156,96.417510962671,9.545333585303517e-05,0.9993015833584034
2017-10-23,3.7413,96.39362529677189,-0.00024773161701263646,0.9990538517413907
2017-10-24,3.732,96.40226738132881,8.965410866457191e-05,0.9991435058500553
2017-10-25,3.7617,96.37467389219722,-0.00028623278145978315,0.9988572730685955
2017-10-26,3.8016,96.33762870707194,-0.0003843871385413866,0.9984728859300541
2017-10-27,3.8017,96.33753589777432,-9.633753588200733e-07,0.9984719225546953
2017-10-30,3.8983,96.24796555862801,-0.0009297553472963349,0.997542167207399
2017-10-31,3.8959,96.2501888909957,2.310004533390142e-05,0.9975652672527329
2017-11-01,3.8827,96.26241905533838,0.00012706639315318569,0.997692333645886
2017-11-02,3.8563,96.28688871065117,0.0002541973861962532,0.9979465310320823
2017-11-03,3.9006,96.24583496149204,-0.0004263690488796046,0.9975201619832027
2017-11-06,3.8868,96.25861995941737,0.0001328368955442194,0.9976529988787469
2017-11-07,3.8964,96.24972568828179,-9.239973666086421e-05,0.9975605991420861
2017-11-08,3.9255,96.22277496860731,-0.0002800082751587274,0.9972805908669273
2017-11-09,3.9008,96.24564969663372,0.00023772675475086658,0.9975183176216782
2017-11-10,3.9223,96.22573788301452,-0.00020688533644863671,0.9973114322852296
2017-11-13,3.9664,96.18492128226043,-0.0004241755028545624,0.996887256782375
2017-11-14,4.0025,96.15153481887455,-0.0003471070406961818,0.9965401497416788
2017-11-15,3.9795,96.17280329295679,0.00022119744757365112,0.9967613471892525
2017-11-16,3.949,96.20102165484997,0.0002934131160472475,0.9970547603052997
2017-11-17,3.9521,96.19815280306989,-2.982142736873694e-05,0.997024938877931
2017-11-20,3.976,96.17604062475955,-0.00022986073709341248,0.9967950781408376
2017-11-21,3.982,96.17049104652729,-5.770229462775944e-05,0.9967373758462098
2017-11-22,3.9868,96.16605184504186,-4.615970488575094e-05,0.996691216141324
2017-11-23,4.0028,96.15125746614514,-0.00015384201194579283,0.9965373741293783
2017-11-24,4.0059,96.14839158163142,-2.9806001390353387e-05,0.9965075681279879
2017-11-27,3.9623,96.1887145628752,0.00041938279549436075,0.9969269509234823
2017-11-28,3.9799,96.1724333260563,-0.0001692634826538919,0.9967576874408284
2017-11-29,3.9941,96.15930134498015,-0.00013654620790992666,0.9966211412329185
2017-11-30,3.9318,96.21694226406163,0.0005994315503050629,0.9972205727832235
2017-12-01,3.8894,96.25621093201039,0.0004081263343516106,0.9976286991175751
2017-12-04,3.902,96.24453812246155,-0.00012126811803436777,0.9975074309995408
2017-12-05,3.8648,96.27900886537114,0.00035815791297921784,0.99786558891252
2017-12-06,3.8798,96.26510640182211,-0.0001443976596027241,0.9977211912529172
2017-12-07,3.8848,96.26047313947758,-4.8130236569687845e-05,0.9976730610163476
2017-12-08,3.9122,96.23509077856112,-0.00026368414873345625,0.9974093768676141
2017-12-11,3.9274,96.22101582450826,-0.000146255944053153,0.997263120923561
2017-12-12,3.9324,96.2163868052696,-4.810819340239636e-05,0.9972150127301586
2017-12-13,3.9388,96.21046231051349,-6.157469587886322e-05,0.9971534380342797
2017-12-14,3.8977,96.24852138209026,0.0003955814228804311,0.9975490194571601
