date,yield,ret,cum_ret
2016-09-09,2.7713,-0.0036670861046197434,0.7612415876939981
2016-09-12,2.79,0.006747735719698333,0.7663782447466008
2016-09-13,2.7663,-0.008494623655913913,0.7598681499793986
2016-09-14,2.7525,-0.004988612948704119,0.7560774618871035
2016-09-18,2.765,0.004541326067211582,0.7595110561736025
2016-09-19,2.7625,-0.000904159132007254,0.7588243373163026
2016-09-20,2.7425,-0.007239819004524861,0.7533305864579041
2016-09-21,2.7613,0.006855059252506734,0.7584947122647987
2016-09-22,2.745,-0.005903016695034902,0.754017305315204
2016-09-23,2.7263,-0.006812386156648476,0.7488806482626013
2016-09-26,2.7175,-0.003227817921725551,0.7464633978849058
2016-09-27,2.715,-0.0009199632014719183,0.745776679027606
2016-09-28,2.73,0.005524861878453136,0.749896992171405
2016-09-29,2.735,0.001831501831501825,0.7512704298860047
2016-09-30,2.72,-0.005484460694698212,0.7471501167422059
2016-10-08,2.7038,-0.0059558823529412,0.7427001785469031
2016-10-09,2.67,-0.012500924624602505,0.7334157395962094
2016-10-10,2.685,0.005617977528090012,0.7375360527400084
2016-10-11,2.6675,-0.0065176908752327956,0.7327290207389097
2016-10-12,2.6738,0.0023617619493907505,0.7344595522593051
2016-10-13,2.7088,0.013089984292018908,0.7440736162615027
2016-10-14,2.6888,-0.00738334317779088,0.7385798654031042
2016-10-17,2.6925,0.0013760785480509963,0.7395962093119077
2016-10-18,2.6913,-0.0004456824512534263,0.7392665842604038
2016-10-19,2.6875,-0.001411957046780321,0.7382227715973081
2016-10-20,2.6525,-0.013023255813953583,0.7286087075951105
2016-10-21,2.65,-0.0009425070688029447,0.7279219887378108
2016-10-24,2.63,-0.007547169811320753,0.7224282378794122
2016-10-25,2.6825,0.019961977186311763,0.7368493338827085
2016-10-26,2.7025,0.007455731593662529,0.742343084741107
2016-10-27,2.7213,0.006956521739130306,0.7475072105480015
2016-10-28,2.6938,-0.01010546430015058,0.7399533031177036
2016-10-31,2.7213,0.010208627218056154,0.7475072105480015
2016-11-01,2.7499,0.0105096828721567,0.7553632742755114
2016-11-02,2.7413,-0.003127386450416325,0.7530009614064
2016-11-03,2.7351,-0.0022617006529748185,0.7512978986402965
2016-11-04,2.7376,0.0009140433622170097,0.7519846174975963
2016-11-07,2.7441,0.0023743424897719745,0.7537700865265757
2016-11-08,2.776,0.01162494078204146,0.7625326191457215
2016-11-09,2.7685,-0.002701729106628137,0.7604724625738221
2016-11-10,2.7811,0.004551201011377959,0.7639335256146131
2016-11-11,2.8256,0.016000862967890495,0.77615712127455
2016-11-14,2.8558,0.010687995469988554,0.7844526850707318
2016-11-15,2.885,0.010224805658659575,0.7924735613239937
2016-11-16,2.8518,-0.011507798960138649,0.7833539348990521
2016-11-17,2.8866,0.0122028192720387,0.7929130613926656
2016-11-18,2.9019,0.005300353356890497,0.7971157807993405
2016-11-21,2.8994,-0.0008615045315137904,0.7964290619420408
2016-11-22,2.8796,-0.006828999103262734,0.7909902485922262
2016-11-23,2.8696,-0.0034727045422974223,0.7882433731630271
2016-11-24,2.8765,0.0024045163088932675,0.7901387172091746
2016-11-25,2.8819,0.0018772814183902753,0.7916220299409421
2016-11-28,2.8672,-0.005100801554529966,0.7875841230600192
2016-11-29,2.9163,0.017124720982143016,0.8010712814173878
2016-11-30,2.9564,0.013750300037719043,0.8120862518884769
2016-12-01,2.9663,0.0033486672980651555,0.8148056585633842
2016-12-02,3.0063,0.013484812729663176,0.8257931602801812
2016-12-05,3.0138,0.00249476100189594,0.8278533168520806
2016-12-06,3.106,0.030592607339571254,0.853179508309298
2016-12-07,3.0962,-0.003155183515775817,0.8504875703886828
2016-12-08,3.0618,-0.011110393385440287,0.8410383189122372
2016-12-09,3.0859,0.00787118688353261,0.8476582886966075
2016-12-12,3.1121,0.008490229754690715,0.8548551023211097
2016-12-13,3.1816,0.022332187269046733,0.8739458865540448
2016-12-14,3.1822,0.00018858436007040957,0.8741106990797968
2016-12-15,3.3031,0.037992583747093356,0.9073204230188163
2016-12-16,3.2946,-0.00257334019557387,0.9049855789039969
2016-12-19,3.2962,0.000485643173678163,0.9054250789726688
2016-12-20,3.361,0.01965900127419462,0.9232248317538803
2016-12-21,3.3106,-0.01499553704254697,0.9093805795907157
2016-12-22,3.2414,-0.02090255542801911,0.8903722016206567
2016-12-23,3.1968,-0.01375948664157467,0.8781211372064278
2016-12-26,3.1963,-0.00015640640640646186,0.8779837934349678
2016-12-27,3.152,-0.013859775365266058,0.865815135283615
2016-12-28,3.1618,0.0031091370558375964,0.8685070732042303
2016-12-29,3.1102,-0.016319817825289462,0.8543331959895619
2016-12-30,3.0358,-0.0239212912352903,0.8338964427963192
2016-12-31,3.0358,0.0,0.8338964427963192
2017-01-03,3.1311,0.0313920548125699,0.8600741656365883
2017-01-04,3.1122,-0.006036217303822866,0.8548825710754018
2017-01-05,3.2145,0.03287063813379598,0.8829831067161105
2017-01-06,3.195,-0.006066262249183496,0.8776266996291717
2017-01-09,3.2074,0.003881064162754244,0.8810328251613788
2017-01-10,3.1782,-0.009103947122279687,0.873011948908117
2017-01-11,3.2177,0.012428418601724278,0.8838621068534541
2017-01-12,3.1905,-0.008453242999657995,0.8763906056860322
2017-01-13,3.2149,0.0076477041216109765,0.8830929817332784
2017-01-16,3.2249,0.0031105166568166087,0.8858398571624776
2017-01-17,3.2636,0.012000372104561396,0.8964702650734788
2017-01-18,3.2738,0.0031253830126241056,0.8992720780112621
2017-01-19,3.2849,0.0033905553179791603,0.9023211097376733
2017-01-20,3.2451,-0.012116046150567716,0.8913885455294602
2017-01-22,3.2351,-0.003081569135003459,0.8886416701002611
2017-01-23,3.2602,0.00775864733702214,0.8955363274275514
2017-01-24,3.2749,0.004508925832771071,0.8995742343084744
2017-01-25,3.3097,0.010626278664997324,0.9091333608020878
2017-01-26,3.3292,0.005891772668217721,0.9144897678890265
2017-02-03,3.3299,0.00021026072329677348,0.9146820491690704
2017-02-04,3.4146,0.02543619928526386,0.9379480840543883
2017-02-06,3.4292,0.004275757043284534,0.9419585221810192
2017-02-07,3.4599,0.008952525370348852,0.9503914297486611
2017-02-08,3.4512,-0.002514523541142899,0.9480016481252577
2017-02-09,3.4313,-0.005766110338433106,0.942535366021151
2017-02-10,3.3968,-0.01005449829510685,0.9330586457904134
2017-02-13,3.4265,0.008743523316062207,0.9412168658151353
2017-02-14,3.402,-0.007150153217568844,0.9344870210135972
2017-02-15,3.4414,0.011581422692533705,0.9453097102046423
2017-02-16,3.3924,-0.014238391352356605,0.9318500206015657
2017-02-17,3.3825,-0.0029182879377431803,0.9291306139266584
2017-02-20,3.3107,-0.02122690317812259,0.9094080483450077
2017-02-21,3.3373,0.00803455462590974,0.9167147369866776
2017-02-22,3.3457,0.002517004764330366,0.9190221123472049
2017-02-23,3.3169,-0.008608064082254785,0.911111111111111
2017-02-24,3.3324,0.004673038077723124,0.9153687680263698
2017-02-27,3.3228,-0.0028808066258552145,0.9127317676143385
2017-02-28,3.3179,-0.001474659925364219,0.9113857986540308
2017-03-01,3.3115,-0.0019289309502997787,0.9096277983793434
2017-03-02,3.3315,0.0060395591121849,0.915121549237742
2017-03-03,3.3465,0.004502476361998964,0.9192418623815408
2017-03-06,3.3593,0.0038248916778724773,0.922757862930916
2017-03-07,3.3694,0.003006578751525657,0.9255322071144073
2017-03-08,3.3757,0.001869769098355789,0.9272627386348029
2017-03-09,3.407,0.009272150961282088,0.9358604587281967
2017-03-10,3.412,0.0014675667742882759,0.9372338964427963
2017-03-13,3.4165,0.0013188745603751606,0.938469990385936
2017-03-14,3.3724,-0.012907946729108777,0.9263562697431671
2017-03-15,3.3636,-0.0026094176254299883,0.9239390193654717
2017-03-16,3.2728,-0.026994886431204623,0.8989973904683423
2017-03-17,3.3127,0.012191395746761202,0.9099574234308474
2017-03-20,3.313,9.056056992795547e-05,0.9100398296937234
2017-03-21,3.3431,0.009085421068518063,0.9183079247356134
2017-03-22,3.2984,-0.01337082348718266,0.9060293915670925
2017-03-23,3.3157,0.005244967256851751,0.9107814860596072
2017-03-24,3.2738,-0.012636848930844158,0.8992720780112622
2017-03-27,3.2264,-0.014478587574072943,0.8862518884768575
2017-03-28,3.2388,0.00384329283411855,0.8896580140090646
2017-03-29,3.2808,0.012967765839199785,0.9011948908117017
2017-03-30,3.2936,0.0039014874420872925,0.9047108913610767
2017-03-31,3.2838,-0.0029754675734758873,0.9020189534404613
2017-04-01,3.2613,-0.00685181801571344,0.895838483724763
2017-04-05,3.2843,0.0070524024162144094,0.9021562972119214
2017-04-06,3.3265,0.012849008921231198,0.9137481115231423
2017-04-07,3.3018,-0.0074252217044941116,0.9069633292130201
2017-04-10,3.3143,0.0037858137985340434,0.9103969234995192
2017-04-11,3.337,0.006849108409015647,0.9166323307238017
2017-04-12,3.3105,-0.007941264608930187,0.9093531108364236
2017-04-13,3.3156,0.0015405527865879343,0.910754017305315
2017-04-14,3.3379,0.0067257811557486225,0.9168795495124294
2017-04-17,3.3989,0.018274963300278557,0.933635489630545
2017-04-18,3.4252,0.007737797522727963,0.9408597720093391
2017-04-19,3.4142,-0.0032114912997780465,0.9378382090372199
2017-04-20,3.433,0.0055064143869720805,0.9430023348441146
2017-04-21,3.4322,-0.0002330323332362383,0.9427825848097786
2017-04-24,3.4819,0.014480508128897007,0.9564345556928991
2017-04-25,3.4823,0.0001148798070018664,0.9565444307100671
2017-04-26,3.4549,-0.00786836286362469,0.949017992034061
2017-04-27,3.4513,-0.0010419983212249795,0.9480291168795492
2017-04-28,3.4634,0.0035059253035087945,0.9513528361488802
2017-05-02,3.4601,-0.0009528209274123345,0.9504463672572445
2017-05-03,3.5145,0.015722088956966473,0.9653893695920885
2017-05-04,3.5298,0.004353393085787305,0.9695920889987633
2017-05-05,3.5497,0.005637713184883042,0.9750583711028699
2017-05-08,3.5901,0.011381243485365067,0.986155747836835
2017-05-09,3.6092,0.0053201860672404955,0.9914022799066057
2017-05-10,3.6492,0.01108278842956878,1.0023897816234026
2017-05-11,3.7012,0.014249698564068769,1.0166735338552388
2017-05-12,3.6443,-0.015373392413271403,1.001043812663095
2017-05-15,3.6247,-0.005378261943308704,0.9956599368218644
2017-05-16,3.6346,0.002731260518111789,0.9983793434967716
2017-05-17,3.625,-0.0026412810212952387,0.9957423430847404
2017-05-18,3.615,-0.0027586206896551557,0.9929954676555411
2017-05-19,3.6302,0.004204702627939039,0.9971707183079239
2017-05-22,3.6353,0.00140488127375904,0.9985716247768156
2017-05-23,3.6551,0.0054465931284901625,1.0040104381266302
2017-05-24,3.6849,0.008152991710212998,1.0121961269056439
2017-05-25,3.6455,-0.010692284729571955,1.0013734377145989
2017-05-26,3.6559,0.0028528322589493893,1.004230188160966
2017-05-27,3.6559,0.0,1.004230188160966
2017-05-31,3.6562,8.205913728498437e-05,1.004312594423842
2017-06-01,3.6168,-0.010776215743121265,0.9934899052327969
2017-06-02,3.6169,2.76487502763878e-05,0.9935173739870888
2017-06-05,3.6018,-0.004174845862478849,0.989369592088998
2017-06-06,3.6168,0.00416458437447953,0.993489905232797
2017-06-07,3.684,0.01857996018579966,1.0119489081170163
2017-06-08,3.6418,-0.011454940282301873,1.0003570938057953
2017-06-09,3.6394,-0.0006590147729144125,0.9996978437027876
2017-06-12,3.6072,-0.008847612243776393,0.9908529048207659
2017-06-13,3.5626,-0.012364160567753357,0.9786018404065372
2017-06-14,3.5688,0.0017403020266097968,0.9803049031726407
2017-06-15,3.5325,-0.010171486213853331,0.9703337453646474
2017-06-16,3.5675,0.00990799716914359,0.9799478093668449
2017-06-19,3.5205,-0.01317449194113518,0.9670374948496083
2017-06-20,3.4881,-0.009203238176395345,0.9581376184590027
2017-06-21,3.5105,0.006421834236403745,0.9642906194204091
2017-06-22,3.5429,0.00922945449366197,0.9731904958110148
2017-06-23,3.5479,0.0014112732507267634,0.9745639335256144
2017-06-26,3.5381,-0.0027621973561824387,0.9718719956049993
2017-06-27,3.5134,-0.006981148073824994,0.965087213294877
2017-06-28,3.5209,0.0021346843513405656,0.9671473698667764
2017-06-29,3.5482,0.007753699338237441,0.9746463397884905
2017-06-30,3.5656,0.004903894932641872,0.9794259030352972
2017-07-03,3.5732,0.002131478573031309,0.9815135283614888
2017-07-04,3.608,0.009739169371991485,0.9910726548551022
2017-07-05,3.6056,-0.00066518847006658,0.9904134047520943
2017-07-06,3.5684,-0.010317284224539591,0.980195028155473
2017-07-07,3.5735,0.0014292119717520535,0.9815959346243647
2017-07-10,3.5835,0.00279837694137397,0.9843428100535639
2017-07-11,3.5824,-0.0003069624668620152,0.984040653756352
2017-07-12,3.5737,-0.0024285395265742915,0.9816508721329487
2017-07-13,3.5602,-0.0037775974480230845,0.9779425903035296
2017-07-14,3.5702,0.0028088309645524223,0.9806894657327287
2017-07-17,3.5542,-0.004481541650327769,0.9762944650460098
2017-07-18,3.5864,0.009059704012154723,0.9851394039280316
2017-07-19,3.5902,0.0010595583314745305,0.9861832165911274
2017-07-20,3.5742,-0.0044565762353072635,0.9817882159044085
2017-07-21,3.5755,0.00036371775502219705,0.9821453097102044
2017-07-24,3.5796,0.0011466927702419305,0.9832715286361762
2017-07-25,3.587,0.002067270086043127,0.9853042164537836
