,close
2018/6/22,3.5604
2018/6/25,3.5803
2018/6/26,3.5804
2018/6/27,3.5529
2018/6/28,3.5304
2018/6/29,3.4756
2018/7/2,3.4668
2018/7/3,3.4955
2018/7/4,3.5107
2018/7/5,3.5005
2018/7/6,3.5259
2018/7/9,3.5432
2018/7/10,3.5431
2018/7/11,3.5107
2018/7/12,3.5158
2018/7/13,3.4858
2018/7/16,3.4808
2018/7/17,3.4808
2018/7/18,3.4708
2018/7/19,3.4409
2018/7/20,3.5135
2018/7/23,3.5186
2018/7/24,3.5615
2018/7/25,3.5614
2018/7/26,3.5361
2018/7/27,3.5212
2018/7/30,3.5213
2018/7/31,3.4812
2018/8/1,3.4638
2018/8/2,3.4713
2018/8/3,3.4567
2018/8/6,3.4568
2018/8/7,3.4876
2018/8/8,3.5222
2018/8/9,3.5476
2018/8/10,3.5525
2018/8/13,3.5826
2018/8/14,3.5519
2018/8/15,3.5829
2018/8/16,3.6141
2018/8/17,3.6524
2018/8/20,3.6326
2018/8/21,3.63
2018/8/22,3.6075
2018/8/23,3.6101
2018/8/24,3.6278
2018/8/27,3.6303
2018/8/28,3.6101
2018/8/29,3.6101
2018/8/30,3.5801
2018/8/31,3.5751
2018/9/3,3.5951
2018/9/4,3.6101
2018/9/5,3.6101
2018/9/6,3.6101
2018/9/7,3.6301
2018/9/10,3.6551
2018/9/11,3.6751
2018/9/12,3.6551
2018/9/13,3.6526
2018/9/14,3.6351
2018/9/17,3.6327
2018/9/18,3.6452
2018/9/19,3.6727
2018/9/20,3.7003
2018/9/21,3.6752
2018/9/25,3.6754
2018/9/26,3.6503
2018/9/27,3.6253
2018/9/28,3.6153
2018/9/29,3.6104
2018/9/30,3.6103
2018/10/8,3.6155
2018/10/9,3.6156
2018/10/10,3.6156
2018/10/11,3.5806
2018/10/12,3.5831
2018/10/15,3.5857
2018/10/16,3.5757
2018/10/17,3.5807
2018/10/18,3.5508
2018/10/19,3.5658
2018/10/22,3.591
2018/10/23,3.5709
2018/10/24,3.5409
2018/10/25,3.5409
2018/10/26,3.541
2018/10/29,3.5111
2018/10/30,3.5161
2018/10/31,3.5086
2018/11/1,3.4936
2018/11/2,3.5461
2018/11/5,3.5312
2018/11/6,3.5113
2018/11/7,3.4813
2018/11/8,3.4813
2018/11/9,3.4763
2018/11/12,3.4865
2018/11/13,3.474
2018/11/14,3.4218
2018/11/15,3.3915
2018/11/16,3.3515
2018/11/19,3.3772
2018/11/20,3.3771
2018/11/21,3.3716
2018/11/22,3.3917
2018/11/23,3.3917
2018/11/26,3.4151
2018/11/27,3.4
2018/11/28,3.37
2018/11/29,3.36
2018/11/30,3.355
2018/12/3,3.35
2018/12/4,3.305
2018/12/5,3.275
2018/12/6,3.2751
2018/12/7,3.2853
2018/12/10,3.2678
2018/12/11,3.2652
2018/12/12,3.2703
2018/12/13,3.3311
2018/12/14,3.3468
2018/12/17,3.3713
2018/12/18,3.3714
