,Growth,Inflation,Rate,Credit,ExRate
2021-04-27,37.60789146795658,47.50410376949038,-1.0982996415136448,-3.775857357207629,-8.786970484271638
2021-04-28,38.532503167364965,47.31306994405542,-1.1620956336513721,-3.8200073214271155,-8.777820238947287
2021-04-29,38.37403687850263,49.61111142373716,-1.0037162507539499,-3.686364171910456,-8.849499092258917
2021-04-30,36.997097848968366,49.31738207684044,-0.9608164431346822,-3.7079876654631025,-8.925866439493891
2021-05-06,37.070015671652484,49.46278239356818,-0.99268927421301,-3.7987744324496475,-8.573156924866199
2021-05-07,38.034341753387544,46.96376597224237,-0.8526497951507395,-3.7267829347777672,-8.719818246834032
2021-05-10,38.63968377502594,44.038505371189984,-0.5497129980042814,-3.509510778921443,-9.280236364443395
2021-05-11,36.90022767829222,44.745555807539226,-0.20860593507334713,-3.422566456881615,-9.886359487470076
2021-05-12,36.723352808235894,43.71470565845142,-0.16752693036492516,-3.544767425419282,-9.678326516610959
2021-05-13,35.36478943426749,43.44302535206294,0.1414465524360864,-3.5050411343477252,-9.102089965515603
2021-05-14,35.32077626260304,41.209047394826456,0.1634280343513872,-3.5852135487154047,-9.448563510710706
2021-05-17,35.54891577443891,40.531821200246654,0.2519812453326331,-3.6350528265343796,-9.724927203293943
2021-05-18,36.54235347657395,38.542150794555475,0.2748135196490864,-3.752682205878882,-9.750150610855112
2021-05-19,36.6152878699374,35.94342201660595,0.3213255467925613,-3.8114397000534037,-9.891852031860138
2021-05-20,35.60307697901894,30.306111525495645,0.6947746679410116,-3.5275521481878016,-9.699539456072714
2021-05-21,34.33125901652719,29.5511819047806,0.8848222009324225,-3.3899560473800716,-9.788004044119013
2021-05-24,33.97395094243238,27.51963382668265,0.8044892313629148,-3.4151499417035716,-9.68221176290136
2021-05-25,34.55460720997296,27.71983909045821,0.8096235721477996,-3.3397327086192363,-9.752378114274407
2021-05-26,36.27773454357269,26.36701334342224,0.5950467334716159,-3.5347403729594937,-10.139158964570228
2021-05-27,35.924272591759596,26.52722289119399,0.8731749148890522,-3.346978854562088,-10.626749139322644
2021-05-28,36.94340859978663,27.920479998942195,1.1215464995878222,-3.22954400071942,-11.01362775955459
2021-05-31,38.066330017673394,29.5112124511398,1.3762494288172888,-2.90550717333336,-11.007286481963252
2021-06-01,38.352643525095196,28.6570401100954,1.3460278961873406,-2.956085896863936,-11.440057290018757
2021-06-02,38.14202474609786,29.151633862979587,1.2026966856853782,-3.0553068516596724,-11.179080288727361
2021-06-03,36.468909558562714,26.83499491548844,1.3046974366710984,-3.074657877485165,-11.118109469308779
2021-06-04,35.19943528842771,26.652866877625485,1.5962546676827394,-2.8760002362668957,-10.502177680896875
2021-06-07,35.24640765512118,24.831915017515172,1.7122982023972888,-2.8244994706394078,-10.541679661236625
2021-06-08,35.582088047451826,22.979186838343995,1.935585393962036,-2.7186041723329337,-10.538868030837524
2021-06-09,35.06052982300214,23.36362312577796,2.0977793901854724,-2.729629101770165,-10.39914508280473
2021-06-10,35.037864479944886,24.26833871490511,1.9796336449832808,-2.8337512669248444,-10.257103497440646
2021-06-11,34.95039854548722,25.420716108239706,1.8203661168376684,-2.824861435301157,-10.197059948101916
2021-06-15,34.28954570160968,24.174562902842236,1.8715301856578215,-2.8293257767845525,-9.851176916606041
2021-06-16,33.76992444631177,24.929281920712864,1.5874194571104283,-2.798262595098655,-9.704236124042787
2021-06-17,34.26005034260186,23.62677993030765,1.3380580435086387,-2.8032843458621617,-9.724813205810756
2021-06-18,34.65334495993929,23.559586095194234,1.4668692125960447,-2.6518388617107256,-9.67907822804639
2021-06-21,33.464409901142126,21.76557897976601,2.0263447377130817,-2.2971846425229203,-9.184505749882565
2021-06-22,33.469487195219315,19.41866879531226,2.2555277512106287,-2.171710177624442,-9.247391402195571
2021-06-23,34.3521302280383,19.522424849370086,2.1864403914619857,-2.1796013499819633,-9.277331039824599
2021-06-24,34.04040823490328,19.61262580656107,2.3262617907779948,-2.1640425106681125,-8.977786841246726
2021-06-25,34.78765621737583,19.139336240338086,2.5086700029505415,-2.0008467259793603,-9.0335626425468
2021-06-28,34.43094642897005,20.34277614725734,2.489831083917071,-2.212663606841536,-9.016150936836297
2021-06-29,34.43333588275448,21.08115013880969,2.269227314772504,-2.422910218378538,-8.868910315559742
2021-06-30,34.602405649273,22.346325358029027,2.2128904284103967,-2.406598084180195,-9.174209812167078
2021-07-01,33.972313578457644,23.652936761897227,2.0345359198202573,-2.5132205091844106,-8.98880813492131
2021-07-02,32.53504127291678,22.581898146126406,2.1256968307431734,-2.4089978788832287,-8.864034990049795
2021-07-05,32.639683634152114,22.126623870641353,2.198213515124614,-2.4305010729985588,-8.686452332903837
2021-07-06,32.70713258835055,22.02976424906236,2.3727188231820406,-2.4265894002525377,-8.915261439119448
2021-07-07,31.536716404703107,21.899601818429463,3.1634459118180303,-1.9495903434338213,-8.720308627145501
2021-07-08,30.480778272043942,22.348449437785483,3.7495793489822127,-1.8375333029091,-8.30755579374365
2021-07-09,30.166698958834292,21.316043725237094,3.8598588549353607,-1.8215254975097295,-8.083710348470973
2021-07-12,30.15825423726627,22.03957033744809,4.407956991360518,-1.774525277275002,-7.8634696034247
2021-07-13,31.14958969360455,21.45242875860893,4.341234898527535,-2.0188488428757534,-7.703882177988253
2021-07-14,29.9062708690233,21.216191534188468,4.524296852396681,-1.9978255179361026,-7.659692534328455
2021-07-15,30.618741730631786,21.11478438535208,4.1788869426596875,-2.2902542408747397,-7.960468334666082
2021-07-16,30.587935457380095,20.32629852827404,4.03675748939154,-2.522343163028662,-7.839958785168943
2021-07-19,30.664753515800903,19.848898202864106,3.914632656080741,-2.578576164009372,-7.749041041216653
2021-07-20,29.47312568249143,19.847480059290252,4.0359011198323635,-2.539063996432417,-7.695533037476965
2021-07-21,29.59984071217494,21.12201484530538,4.026128335403989,-2.4832846782152918,-7.562056027733921
2021-07-22,29.680818305317104,20.564234387453595,3.7690597468039932,-2.5810865086643044,-7.751829465249749
2021-07-23,29.52294910881708,21.02511569241216,3.7221505661515053,-2.460157288813325,-7.547042884923294
2021-07-26,27.986005558596744,21.284662065323793,4.032607327822113,-2.2487824792575104,-7.6631580676124855
2021-07-27,27.513405854997963,21.7844913025781,3.616801802718239,-2.3480279359974765,-7.732256948972349
2021-07-28,27.571054383020172,21.82808364257387,3.5171871124434873,-2.380152160520266,-7.56150767705106
2021-07-29,28.388091616819157,22.784743786681805,3.899231552565574,-2.2011788862747297,-7.3499552063252205
2021-07-30,27.86051689709969,23.37961236131007,4.252741219862077,-2.078080985316727,-7.9806916754681545
2021-08-02,28.11028487304192,19.931719918428968,4.499661710756264,-2.0038235636543167,-7.795148883644365
2021-08-03,27.907278594213064,18.087922702289465,4.599887241399081,-2.0777095752426975,-7.795225493843239
2021-08-04,28.07958015160374,16.413443228452817,4.549483351450956,-2.158737323818988,-7.914404519172713
2021-08-05,27.170493591434518,16.428875898760033,4.728569598021437,-2.0587370824064366,-7.605490051121944
