,000852.SH,000905.SH,000300.SH,NH0100.NHF,Bond
2011-09-14,4589.687,4212.129,2733.108,1495.0246,4.021
2011-09-15,4598.446,4215.5,2729.051,1496.1996,4.0495
2011-09-16,4598.815,4214.816,2733.987,1500.1495,4.0752
2011-09-19,4507.677,4131.885,2679.27,1463.2435,4.0801
2011-09-20,4537.526,4151.851,2689.845,1463.2096,4.0801
2011-09-21,4666.074,4275.094,2771.011,1468.1975,4.0908
2011-09-22,4529.956,4151.8,2685.688,1431.654,4.0676
2011-09-23,4494.477,4117.735,2669.478,1388.9331,3.9662
2011-09-26,4426.398,4051.425,2610.919,1341.4097,3.8878
2011-09-27,4441.807,4068.231,2637.879,1373.8119,3.9158
2011-09-28,4358.335,3999.782,2610.59,1362.9248,3.9203
2011-09-29,4189.114,3871.06,2588.185,1331.3891,3.884
2011-09-30,4174.447,3856.828,2581.351,1362.9292,3.8605
2011-10-08,,,,,3.8605
2011-10-09,,,,,3.8056
2011-10-10,4159.453,3832.577,2557.082,1352.2253,3.7706
2011-10-11,4152.716,3817.927,2551.994,1351.4663,3.7593
2011-10-12,4302.102,3950.655,2644.758,1366.6028,3.8005
2011-10-13,4370.724,4001.853,2662.601,1359.9145,3.8205
2011-10-14,4350.424,3985.193,2653.782,1372.6149,3.7707
2011-10-17,4368.772,3997.121,2666.951,1364.3187,3.7906
2011-10-18,4230.954,3877.024,2592.209,1331.709,3.7407
2011-10-19,4216.672,3854.169,2583.081,1328.83,3.7311
2011-10-20,4088.078,3740.469,2520.532,1286.1888,3.7266
2011-10-21,4008.554,3671.695,2507.877,1294.7889,3.7385
2011-10-24,4071.455,3736.765,2576.669,1334.425,3.7533
2011-10-25,4185.191,3842.978,2625.425,1342.9249,3.796
2011-10-26,4217.893,3884.39,2651.652,1347.807,3.7918
2011-10-27,4216.232,3888.992,2657.478,1359.1949,3.8032
2011-10-28,4306.396,3978.8,2709.017,1368.471,3.787
2011-10-31,4350.134,3999.362,2695.307,1351.1049,3.7607
2011-11-01,4354.996,3999.831,2697.534,1343.0174,3.7395
2011-11-02,4432.334,4072.781,2742.39,1356.1261,3.7208
2011-11-03,4458.448,4097.618,2744.301,1336.2765,3.7233
2011-11-04,4491.169,4131.13,2763.746,1366.6202,3.7158
2011-11-07,4474.752,4114.767,2736.248,1351.0174,3.7333
2011-11-08,4420.984,4057.555,2727.71,1350.1214,3.6988
2011-11-09,4501.262,4126.003,2751.654,1351.3599,3.6436
2011-11-10,4441.789,4064.371,2699.588,1313.1565,3.5563
2011-11-11,4441.938,4062.144,2695.002,1325.8241,3.5916
2011-11-14,4553.241,4159.567,2750.195,1355.5088,3.5807
2011-11-15,4587.389,4192.665,2744.68,1348.0051,3.6563
2011-11-16,4474.273,4088.323,2670.116,1336.968,3.626
2011-11-17,4474.337,4079.536,2662.017,1347.6841,3.636
2011-11-18,4333.894,3963.258,2606.495,1334.2112,3.6412
2011-11-21,4346.996,3966.636,2609.687,1323.1931,3.6598
2011-11-22,4341.689,3957.93,2609.475,1319.1678,3.6412
2011-11-23,4318.118,3942.695,2584.011,1308.2735,3.5914
2011-11-24,4311.28,3935.273,2588.915,1307.037,3.6103
2011-11-25,4280.951,3911.356,2569.973,1296.0142,3.6115
2011-11-28,4283.102,3915.298,2573.321,1314.427,3.6402
2011-11-29,4358.574,3980.618,2608.569,1320.7783,3.6315
2011-11-30,4164.115,3819.942,2521.52,1309.0611,3.6091
2011-12-01,4254.087,3897.019,2583.613,1346.7415,3.5005
2011-12-02,4164.809,3817.041,2557.311,1345.1523,3.472
2011-12-05,4021.213,3692.227,2521.385,1347.7496,3.442
2011-12-06,4022.734,3691.804,2516.341,1344.3012,3.479
2011-12-07,4035.026,3702.103,2528.228,1353.4556,3.489
2011-12-08,4034.047,3700.089,2525.001,1347.571,3.4953
2011-12-09,3991.445,3663.843,2503.461,1339.8985,3.4817
2011-12-12,3939.273,3616.087,2477.692,1329.639,3.4927
2011-12-13,3789.032,3490.4,2421.928,1321.7878,3.4982
2011-12-14,3705.481,3423.474,2397.48,1319.489,3.4807
2011-12-15,3598.937,3329.575,2340.788,1300.8407,3.489
2011-12-16,3705.577,3427.214,2390.129,1318.6834,3.4637
2011-12-19,3715.703,3434.845,2384.408,1313.512,3.4702
2011-12-20,3701.62,3424.448,2377.073,1314.5587,3.4655
2011-12-21,3602.598,3342.401,2339.108,1320.2227,3.4709
2011-12-22,3535.237,3298.724,2341.335,1324.1129,3.4752
2011-12-23,3561.984,3327.394,2359.159,1333.5763,3.4803
2011-12-26,3536.285,3308.072,2335.702,1323.8716,3.4653
2011-12-27,3422.983,3224.148,2305.035,1323.0186,3.4603
2011-12-28,3393.368,3207.399,2307.928,1327.8608,3.4603
2011-12-29,3394.846,3207.181,2311.361,1317.432,3.4453
2011-12-30,3456.287,3266.775,2345.742,1323.1581,3.4303
2011-12-31,,,,,3.4211
2012-01-04,3362.829,3192.234,2298.753,1325.5516,3.4395
2012-01-05,3205.402,3074.368,2276.385,1338.3194,3.4304
2012-01-06,3224.498,3087.546,2290.601,1337.9823,3.397
2012-01-09,3365.897,3212.904,2368.57,1336.892,3.3806
2012-01-10,3503.239,3345.391,2447.349,1346.9497,3.403
2012-01-11,3519.512,3346.742,2435.608,1353.6195,3.4208
2012-01-12,3518.881,3345.812,2435.219,1356.152,3.402
2012-01-13,3374.155,3233.701,2394.334,1353.4246,3.4108
2012-01-16,3255.889,3130.558,2345.649,1352.018,3.4233
2012-01-17,3437.331,3304.88,2460.601,1371.0043,3.4045
2012-01-18,3350.366,3237.852,2422.189,1370.1547,3.3957
2012-01-19,3374.285,3270.765,2468.35,1378.613,3.3758
2012-01-20,3415.753,3315.603,2504.086,1392.3533,3.3808
2012-01-21,,,,,3.3811
2012-01-29,,,,,3.3812
2012-01-30,3404.912,3292.409,2460.72,1389.4531,3.4005
2012-01-31,3406.675,3294.494,2464.26,1393.1796,3.4064
2012-02-01,3387.939,3266.234,2428.994,1386.0257,3.4318
2012-02-02,3457.054,3328.153,2486.238,1392.402,3.441
2012-02-03,3518.866,3383.05,2506.09,1396.9925,3.436
2012-02-06,3557.079,3412.405,2504.322,1410.3085,3.4785
2012-02-07,3496.399,3356.838,2457.954,1400.789,3.481
2012-02-08,3593.278,3445.52,2528.236,1420.1065,3.5098
2012-02-09,3627.821,3469.846,2529.231,1411.3469,3.5409
2012-02-10,3648.415,3488.229,2533.624,1405.9455,3.521
2012-02-13,3700.103,3519.875,2531.981,1405.7277,3.5148
2012-02-14,3703.359,3524.625,2522.107,1399.3927,3.516
2012-02-15,3769.992,3578.149,2549.607,1398.2192,3.5335
2012-02-16,3775.798,3577.202,2536.074,1380.7832,3.5361
2012-02-17,3763.086,3565.306,2537.086,1387.8779,3.5361
2012-02-20,3771.663,3574.458,2540.706,1391.7684,3.5116
2012-02-21,3820.259,3618.302,2562.453,1403.3687,3.5164
2012-02-22,3895.765,3689.004,2597.476,1407.2838,3.5276
2012-02-23,3900.044,3700.888,2606.256,1406.6351,3.5254
2012-02-24,3941.745,3756.825,2648.017,1403.1727,3.5164
2012-02-27,3942.394,3764.326,2656.573,1411.3554,3.5501
2012-02-28,3907.702,3745.58,2662.463,1420.3649,3.5464
2012-02-29,3858.542,3696.144,2634.143,1422.4378,3.534
2012-03-01,3887.172,3715.673,2633.345,1410.6802,3.55
2012-03-02,3961.58,3794.416,2679.934,1421.539,3.5616
2012-03-05,3981.733,3798.377,2662.698,1416.8441,3.5614
2012-03-06,3954.189,3760.585,2621.052,1409.07,3.5465
2012-03-07,3939.305,3732.707,2603.005,1396.8918,3.5316
2012-03-08,3993.563,3791.827,2635.791,1400.0193,3.5316
2012-03-09,4053.904,3848.108,2664.302,1418.6927,3.5367
2012-03-12,4078.684,3871.12,2654.402,1417.5996,3.5242
2012-03-13,4114.569,3910.064,2681.073,1425.1803,3.5401
2012-03-14,3919.621,3734.317,2605.106,1418.1711,3.5451
2012-03-15,3869.059,3689.014,2585.546,1417.7367,3.5589
2012-03-16,3971.51,3786.617,2623.52,1418.7187,3.5483
2012-03-19,4040.955,3829.696,2630.013,1415.9869,3.559
2012-03-20,3949.486,3746.284,2584.445,1410.517,3.5601
2012-03-21,3965.638,3760.047,2587.793,1412.5187,3.5608
2012-03-22,3956.74,3742.388,2583.747,1406.9842,3.5502
2012-03-23,3873.485,3670.129,2552.94,1412.5664,3.5267
2012-03-26,3860.819,3666.279,2555.442,1415.1931,3.5247
2012-03-27,3852.903,3652.876,2547.143,1420.8603,3.5403
2012-03-28,3663.069,3490.007,2474.9,1413.7459,3.5223
2012-03-29,3580.747,3425.702,2443.122,1405.4191,3.5143
2012-03-30,3560.485,3416.856,2454.899,1404.7358,3.5054
2012-03-31,,,,,3.5004
2012-04-01,,,,,3.5204
2012-04-05,3676.546,3531.549,2512.832,1416.4654,3.5191
2012-04-06,3713.277,3554.027,2519.83,1424.7659,3.5203
2012-04-09,3666.366,3512.914,2495.146,1422.6875,3.5352
2012-04-10,3710.364,3554.038,2519.788,1424.1884,3.5366
2012-04-11,3739.421,3566.476,2520.036,1408.5613,3.5308
2012-04-12,3818.153,3640.407,2570.436,1413.6903,3.5407
2012-04-13,3850.725,3675.028,2580.454,1411.8408,3.5277
2012-04-16,3868.563,3685.481,2574.044,1398.9045,3.5318
2012-04-17,3815.248,3631.556,2541.883,1397.2643,3.5291
2012-04-18,3904.486,3714.02,2599.908,1408.2957,3.5366
2012-04-19,3901.323,3704.705,2596.056,1406.4574,3.5518
2012-04-20,3932.118,3736.365,2626.839,1406.5978,3.5414
2012-04-23,3867.25,3691.574,2606.038,1402.5311,3.5407
2012-04-24,3832.415,3666.395,2604.866,1397.917,3.5302
2012-04-25,3894.923,3718.911,2625.99,1398.8163,3.5369
2012-04-26,3870.688,3700.028,2631.487,1404.9565,3.5357
2012-04-27,3837.878,3664.638,2626.157,1404.657,3.5389
2012-04-28,,,,,3.5391
2012-05-02,3874.242,3718.259,2683.487,1404.5997,3.5449
2012-05-03,3892.933,3733.816,2691.518,1394.5464,3.5454
2012-05-04,3924.256,3758.004,2715.879,1398.6172,3.5512
2012-05-07,3954.183,3784.556,2717.778,1385.4007,3.5518
2012-05-08,3958.42,3783.472,2709.116,1384.7851,3.552
2012-05-09,3897.47,3717.47,2657.514,1373.9306,3.5414
2012-05-10,3912.465,3731.131,2657.214,1377.7794,3.5287
2012-05-11,3886.516,3715.385,2636.917,1357.2915,3.4907
2012-05-14,3880.78,3710.097,2615.534,1339.6425,3.4461
2012-05-15,3865.876,3705.883,2617.374,1336.2943,3.405
2012-05-16,3826.03,3660.312,2574.647,1315.7099,3.3618
2012-05-17,3880.794,3714.186,2613.942,1331.6598,3.4116
2012-05-18,3810.514,3655.858,2573.976,1323.5491,3.3614
2012-05-21,3802.147,3653.546,2587.231,1337.0672,3.3866
2012-05-22,3852.179,3711.055,2627.525,1332.2927,3.3948
2012-05-23,3844.083,3708.919,2616.869,1313.0904,3.3825
2012-05-24,3816.309,3678.093,2595.26,1316.908,3.3619
2012-05-25,3773.093,3635.516,2573.103,1316.9235,3.3019
2012-05-28,3822.53,3687.455,2614.689,1326.2748,3.3418
2012-05-29,3881.067,3745.678,2650.854,1331.693,3.3718
2012-05-30,3889.618,3752.219,2642.258,1322.5091,3.3766
2012-05-31,3898.591,3753.593,2632.042,1314.1898,3.3443
2012-06-01,3892.216,3744.437,2632.998,1304.9394,3.3416
2012-06-04,3754.999,3621.808,2559.026,1275.826,3.3469
2012-06-05,3748.975,3617.614,2558.842,1288.1794,3.3568
2012-06-06,3734.666,3600.163,2557.401,1290.1824,3.36
2012-06-07,3712.697,3581.137,2542.184,1293.5948,3.3751
2012-06-08,3697.722,3564.158,2524.329,1282.9929,3.3101
2012-06-11,3760.43,3630.314,2558.265,1303.1876,3.3491
2012-06-12,3738.892,3608.391,2540.178,1292.0708,3.3747
2012-06-13,3803.815,3674.875,2580.636,1291.6772,3.3909
2012-06-14,3777.587,3652.705,2560.421,1288.3152,3.4009
2012-06-15,3784.172,3648.994,2568.054,1302.0507,3.3932
2012-06-18,3824.152,3684.727,2581.212,1306.8744,3.4107
2012-06-19,3799.515,3657.958,2558.621,1307.6359,3.4093
2012-06-20,3784.332,3636.09,2552.611,1317.461,3.4101
2012-06-21,3729.205,3590.837,2512.185,1300.7793,3.4001
2012-06-25,3633.235,3493.116,2456.518,1300.6626,3.3677
2012-06-26,3627.992,3489.972,2454.915,1296.1352,3.3653
2012-06-27,3615.949,3476.403,2447.195,1294.1286,3.3252
2012-06-28,3562.42,3427.819,2425.729,1300.5754,3.3253
